,RRF (сейчас),MLP,LightGBM,ансамбль,потолок кандидатов,"прирост MLP, п.п.","прирост LightGBM, п.п.","прирост ансамбль, п.п."
val-tune,0.8774771744193675,0.9432136190282543,0.9346922143471986,0.9425810192278914,0.9757225063721299,6.5736444608886835,5.721503992783116,6.510384480852394
"val-tune, город",0.8924220917090452,0.9557989131876193,0.950732431609997,0.9557327071326103,0.9807480718341445,6.337682147857415,5.831033990095181,6.331061542356508
"val-tune, регион",0.7622004268762412,0.8461376868270672,0.8109669343673853,0.8411362419185243,0.9369581004007266,8.393725995082601,4.876650749114408,7.893581504228308
val-test,0.8791918091707482,0.9455812982813773,0.937881560507268,0.9451557009968226,0.9764328752580694,6.6389489110629025,5.868975133651977,6.596389182607432
"val-test, город",0.8916318299719291,0.9567613568459306,0.9518165899988181,0.9574081978513643,0.980359006210382,6.512952687400142,6.0184760026888995,6.577636787943519
"val-test, регион",0.7917303098592738,0.8669781592614574,0.8399091702870772,0.8590126179317511,0.9488296015119482,7.524784940218354,4.817886042780339,6.728230807247726
